is_spam,body
1,【工行优惠季领10元**支付券】工行优惠季来啦!本周五（****年2月24日0点***点）诚邀您登录工行手机银行参加特邀客户专场活动。活动当天登录手机银行，根据弹窗提示或搜索栏搜“工行消费季”可进入活动并有机会领取**券，使用**绑定工行卡消费满50元减10元，自领取之日起7天内有效。名额有限，先到先得。更多活动规则请详见我行手机银行。限接收此短信本人参与，转发无效。。【***】
0,市气象台31日6时发布:今天白天晴间多云北转南风二三间四级最高气温零下2度;夜间晴间多云南转北风一二级最低气温零下10度;上班时零下13到零下9度.拨*****按2号键可零距离听气象专家解读今日天气和未来趋势.如不需要早间天气信息请回复*****
0,【***】验证码：******，有效期10分钟。如非本人操作，请忽略。
0,您尾号****卡9月17日*****快捷支付收入(退款支付宝-江苏置胜仓储货架有限公司*******元。回复***了解信用卡****【***】
0,【***】短信验证码******，您正在进行网上银行登录安全验证
0,【***】您于*******************出行的订单已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
0,【***】预订成功：订单***********，西湖游船二公园码头儿童票-不区分场次*1份，详细使用方法请点击**********************************
0,您尾号****卡9月15日*****网上银行支出(银联在线支付*******元。回复***了解信用卡****【***】
0,【***】您的外卖已放在杭州龙禧福朋喜来登酒店门口外卖柜9格口，点击*******************或使用****取件
0,【***】恭喜您已签约成功，请登录腾讯音乐人官网<数据中心-收入概览>添加银行账户，签约歌曲获得的收入将打款至该账户。如有疑问请关注并咨询「腾讯音乐人小秘书」服务号
0,【***】遇忙未接主叫****************归属:国际时间*********************智能通信服务，尽在沃助理微信公众号
0,****
0,******，有效期5分钟。您正在进行云闪付手机网页登录。请勿将短信验证码告知他人！【***】
0,【***】您于*******************出行的订单已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
0,【***】您正在操作《民用无人驾驶航空器综合管理平台》，短信验证码为******，如果不是您本人操作，请忽略该信息。
0,北京反诈中心、北京市通信管理局提示您：近期有不法分子冒充网络平台客服，以会员或百万保障到期扣费为由，诱导群众访问网址、添加聊天软件好友、下载安装涉诈***、共享屏幕实施诈骗。如遇此类情况切勿轻信，凡是以扣费为由，要求您按照对方要求操作的，都是诈骗。牢记*****是反诈专线。
0,【***】您的网易帐号*************于*****完成了申请变更安全手机的操作。若非本人操作可在24小时内回复***空格]用户名到******************取消本次更换操作。
0,【***】您好！因疫情防控，小区不让快递进了，您的快递给放在门口快递架子上了，请您及时取一下。谢谢！有问题请联系***********
1,【***】恭喜您成功领取问卷，立即作答＞＞**************符合条件成功提交可获得5元奖励，谨防失效，
